,FC_measure,band,frm,to,r
381,plv,1-delta,FC_subj04,FC_subj09,0.6750536320000317
382,aec,2-theta,FC_subj04,FC_subj09,0.595419788835469
383,plv,2-theta,FC_subj04,FC_subj09,0.6811859087873015
384,aec,3-alfa,FC_subj04,FC_subj09,0.5388911090836161
385,plv,3-alfa,FC_subj04,FC_subj09,0.6674626060030506
386,aec,4-beta,FC_subj04,FC_subj09,0.596537691254261
387,plv,4-beta,FC_subj04,FC_subj09,0.6942213283219524
388,aec,5-gamma,FC_subj04,FC_subj09,0.6481407048825494
389,plv,5-gamma,FC_subj04,FC_subj09,0.688421993732742
390,aec,1-delta,FC_subj04,FC_subj10,0.6299063807647676
391,plv,1-delta,FC_subj04,FC_subj10,0.7209568255226686
392,aec,2-theta,FC_subj04,FC_subj10,0.640296392867873
393,plv,2-theta,FC_subj04,FC_subj10,0.7380648111815683
394,aec,3-alfa,FC_subj04,FC_subj10,0.5813217975419959
395,plv,3-alfa,FC_subj04,FC_subj10,0.7226650099877658
396,aec,4-beta,FC_subj04,FC_subj10,0.6246738538459572
397,plv,4-beta,FC_subj04,FC_subj10,0.7528369143633866
398,aec,5-gamma,FC_subj04,FC_subj10,0.6720167832203555
399,plv,5-gamma,FC_subj04,FC_subj10,0.7509384884412836
400,aec,1-delta,FC_subj05,.1973WilsonCowan,0.047972910849778345
401,plv,1-delta,FC_subj05,.1973WilsonCowan,0.032118636053923455
402,aec,2-theta,FC_subj05,.1973WilsonCowan,0.026069527781944178
403,plv,2-theta,FC_subj05,.1973WilsonCowan,0.11633021502590395
